,gene_name,Bcells replicate 1 half_life,Bcells replicate 1 dataQual,Bcells replicate 1 R_sq,Bcells replicate 2 half_life,Bcells replicate 2 dataQual,Bcells replicate 2 R_sq,NK cells replicate 1 half_life,NK cells replicate 1 dataQual,NK cells replicate 1 R_sq,NK cells replicate 2 half_life,NK cells replicate 2 dataQual,NK cells replicate 2 R_sq,Hepatocytes replicate 1 half_life,Hepatocytes replicate 1 dataQual,Hepatocytes replicate 1 R_sq,Hepatocytes replicate 2 half_life,Hepatocytes replicate 2 dataQual,Hepatocytes replicate 2 R_sq,Monocytes replicate 1 half_life,Monocytes replicate 1 dataQual,Monocytes replicate 1 R_sq,Monocytes replicate 2 half_life,Monocytes replicate 2 dataQual,Monocytes replicate 2 R_sq,"Mouse Neurons, replicate 3 half_life","Mouse Neurons, replicate 3 dataQual","Mouse Neurons, replicate 3 R_sq","Mouse Neurons, replicate 4 half_life","Mouse Neurons, replicate 4 dataQual","Mouse Neurons, replicate 4 R_sq",Bcell_mean,NKcell_mean,Hepatocytes_mean,Monocytes_mean,MouseNeuorons_mean,Max_halflife
1754,GCLM,56.431000000000004,weak,0.9990000000000001,,,,,,,179.856,weak,0.934,197.41099999999997,weak,0.922,,,,70.035,weak,0.98,39.525999999999996,weak,0.981,48.184,weak,0.99,57.43899999999999,good,0.981,56.431000000000004,179.856,197.41099999999997,54.780499999999996,52.811499999999995,197.41099999999997
1755,GCN1L1,57.733000000000004,good,0.976,77.45,good,0.997,226.06400000000002,good,0.996,179.428,good,0.9890000000000001,68.018,good,0.9990000000000001,75.113,good,0.986,99.20200000000001,good,0.988,81.007,good,0.992,,,,,,,67.5915,202.746,71.5655,90.1045,,202.746
1756,GCSH,,,,,,,,,,,,,309.869,good,0.9990000000000001,300.23,good,0.9990000000000001,,,,,,,,,,,,,,,305.0495,,,305.0495
1757,GDAP1,,,,,,,,,,,,,,,,98.413,weak,0.9109999999999999,,,,,,,56.235,good,0.9990000000000001,62.488,good,0.998,,,98.413,,59.3615,98.413
1758,GDAP2,,,,41.145,weak,0.998,,,,,,,38.282,weak,0.914,37.844,weak,0.981,55.388000000000005,weak,0.978,49.115,good,0.982,31.881999999999998,weak,0.996,34.27,good,0.995,41.145,,38.063,52.25150000000001,33.076,52.25150000000001
1759,GDE1,,,,,,,,,,,,,,,,,,,,,,81.545,weak,0.973,43.21,weak,0.9990000000000001,48.629,good,0.995,,,,81.545,45.9195,81.545
1760,GDI1,193.958,good,0.995,211.98,good,0.993,,,,,,,,,,50.657,weak,0.872,119.376,good,0.99,98.485,good,0.993,58.478,good,0.998,75.083,good,0.998,202.969,,50.657,108.9305,66.7805,202.969
1761,GDI2,91.456,good,0.977,129.931,good,0.995,504.756,good,1.0,364.05699999999996,good,1.0,135.602,good,0.983,,,,118.305,good,0.99,106.477,good,0.9890000000000001,64.734,good,0.997,83.04700000000001,good,0.998,110.6935,434.40649999999994,135.602,112.391,73.8905,434.40649999999994
1762,GDPGP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.296,good,0.909,,,,,85.296,85.296
1763,GEMIN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.043,weak,0.98,,,,,59.043,59.043
1764,GEMIN4,30.191,good,0.966,33.848,good,0.972,90.529,weak,0.993,80.682,weak,0.934,,,,63.208999999999996,weak,0.995,66.32600000000001,weak,0.986,41.235,weak,0.937,,,,,,,32.0195,85.6055,63.208999999999996,53.7805,,85.6055
1765,GEMIN5,41.472,good,0.983,52.63,good,0.997,121.521,weak,0.975,98.56200000000001,weak,0.8690000000000001,162.244,weak,0.91,67.05,weak,0.9229999999999999,57.07,weak,0.986,48.388000000000005,good,0.995,49.605,weak,0.997,53.861000000000004,good,0.998,47.051,110.04150000000001,114.64699999999999,52.729,51.733000000000004,114.64699999999999
1766,GET4,46.479,weak,0.993,80.032,weak,0.99,,,,,,,34.672,weak,0.877,,,,85.728,weak,0.935,64.908,weak,0.973,56.873999999999995,weak,0.955,76.107,weak,0.965,63.2555,,34.672,75.318,66.4905,75.318
1767,GFER,,,,,,,,,,,,,284.663,weak,0.914,,,,122.714,weak,0.9470000000000001,,,,71.209,weak,0.9840000000000001,86.11,weak,0.987,,,284.663,122.714,78.65950000000001,284.663
1768,GFM1,38.765,good,0.987,47.431000000000004,good,0.995,114.865,good,0.996,104.081,good,1.0,44.117,good,0.9990000000000001,45.251000000000005,good,0.9940000000000001,40.5,good,0.9790000000000001,29.674,good,0.997,34.162,good,0.996,35.482,good,0.997,43.098,109.473,44.684,35.087,34.822,109.473
1769,GFM2,73.85300000000001,weak,0.934,93.914,weak,0.997,,,,,,,45.832,good,0.997,45.583,good,0.998,,,,,,,43.516999999999996,good,0.993,47.901,good,0.998,83.8835,,45.707499999999996,,45.709,83.8835
1770,GFPT1,47.397,weak,0.983,53.821000000000005,good,1.0,215.748,good,0.998,156.988,good,0.9990000000000001,,,,,,,60.516000000000005,good,0.993,52.364,good,0.997,24.0,good,0.972,25.088,good,0.973,50.609,186.368,,56.44,24.544,186.368
1771,GGA1,73.473,weak,0.948,,,,220.425,weak,0.917,140.797,weak,0.97,,,,,,,43.309,weak,0.99,42.445,weak,0.998,50.693999999999996,good,0.9990000000000001,72.359,good,0.9940000000000001,73.473,180.611,,42.876999999999995,61.5265,180.611
1772,GGA2,16.644000000000002,good,0.985,16.967,good,0.991,32.079,weak,0.9940000000000001,26.558000000000003,weak,0.992,,,,,,,16.157,weak,0.971,13.083,weak,0.976,,,,,,,16.805500000000002,29.3185,,14.620000000000001,,29.3185
1773,GGA3,,,,,,,161.77,weak,0.966,123.883,weak,0.987,,,,,,,65.301,weak,0.9470000000000001,,,,42.96,good,0.9990000000000001,42.066,good,0.992,,142.8265,,65.301,42.513000000000005,142.8265
1774,GGCT,,,,167.38,weak,0.899,,,,,,,,,,,,,188.06099999999998,good,0.93,138.529,good,0.95,,,,52.173,weak,0.983,167.38,,,163.295,52.173,167.38
1775,GGH,,,,235.59799999999998,weak,0.877,,,,,,,113.85,good,0.998,115.243,good,0.998,,,,,,,,,,120.105,good,0.986,235.59799999999998,,114.5465,,120.105,235.59799999999998
1776,GGPS1,,,,294.258,weak,0.945,,,,425.57800000000003,weak,0.902,,,,,,,,,,,,,,,,82.93799999999999,weak,0.9640000000000001,294.258,425.57800000000003,,,82.93799999999999,425.57800000000003
1777,GHDC,106.413,weak,0.996,,,,193.139,weak,0.9990000000000001,159.929,weak,0.995,170.115,good,0.9840000000000001,,,,90.61399999999999,weak,0.943,62.103,weak,0.97,,,,,,,106.413,176.534,170.115,76.35849999999999,,176.534
1778,GHITM,42.261,weak,0.907,38.93,weak,0.972,60.403999999999996,weak,0.956,45.583999999999996,weak,0.992,35.843,good,0.997,35.104,good,0.9990000000000001,31.041999999999998,weak,0.988,25.175,good,0.993,21.351,weak,0.95,26.284000000000002,weak,0.929,40.5955,52.994,35.4735,28.1085,23.817500000000003,52.994
1779,GID8,,,,,,,,,,,,,51.345,weak,0.996,53.753,weak,0.991,62.582,weak,0.9790000000000001,50.553999999999995,weak,0.8959999999999999,,,,61.841,good,0.998,,,52.549,56.568,61.841,61.841
1780,GIGYF1,,,,44.333999999999996,weak,0.956,70.352,weak,0.985,52.373999999999995,weak,0.9840000000000001,,,,,,,,,,,,,27.385,weak,0.899,29.78,weak,0.9990000000000001,44.333999999999996,61.363,,,28.582500000000003,61.363
1781,GIGYF2,27.058000000000003,good,0.981,27.414,good,0.9990000000000001,60.065,weak,0.9940000000000001,47.687,weak,0.9990000000000001,46.247,good,0.955,31.425,good,0.9890000000000001,28.664,weak,0.986,24.144000000000002,good,0.991,24.447,good,0.998,29.289,good,0.997,27.236000000000004,53.876,38.836,26.404000000000003,26.868000000000002,53.876
1782,GIMAP1,220.08700000000002,weak,0.9309999999999999,156.52700000000002,weak,0.972,234.803,good,0.9990000000000001,242.19799999999998,good,1.0,,,,,,,,,,296.901,good,0.9620000000000001,,,,,,,188.30700000000002,238.5005,,296.901,,296.901
1783,GIMAP4,127.926,weak,0.981,227.21599999999998,good,0.992,203.9,good,0.995,183.165,good,0.998,,,,,,,297.35900000000004,good,0.996,174.472,good,0.966,,,,,,,177.571,193.5325,,235.9155,,235.9155
1784,GIMAP7,,,,25.408,weak,0.9940000000000001,27.671,weak,1.0,26.721999999999998,weak,1.0,,,,,,,80.413,weak,0.9940000000000001,,,,,,,,,,25.408,27.1965,,80.413,,80.413
1785,GIMAP8,,,,73.10300000000001,weak,0.996,101.766,good,0.866,116.789,good,0.997,,,,,,,,,,,,,,,,,,,73.10300000000001,109.2775,,,,109.2775
1786,GIPC1,,,,,,,,,,44.52,weak,0.9990000000000001,46.138999999999996,weak,0.985,,,,,,,,,,59.119,good,0.9940000000000001,62.68,good,0.996,,44.52,46.138999999999996,,60.8995,60.8995
1787,GIT1,66.938,good,0.98,80.192,weak,0.997,,,,,,,,,,,,,,,,,,,49.538000000000004,good,0.9990000000000001,59.49,good,0.996,73.565,,,,54.514,73.565
1788,GIT2,73.97,weak,0.993,91.85600000000001,good,0.997,174.537,weak,0.997,133.638,good,0.992,,,,77.214,weak,0.8959999999999999,52.361000000000004,weak,0.993,42.023999999999994,weak,0.996,45.701,weak,0.9670000000000001,59.901,good,0.996,82.91300000000001,154.0875,77.214,47.192499999999995,52.801,154.0875
1789,GK,,,,,,,,,,,,,261.158,weak,0.9159999999999999,,,,57.791000000000004,good,0.97,52.148999999999994,good,0.917,,,,109.359,good,0.99,,,261.158,54.97,109.359,261.158
1790,GK2,,,,,,,,,,,,,,,,,,,,,,50.93,weak,0.9440000000000001,,,,,,,,,,50.93,,50.93
1791,GLA,,,,,,,,,,,,,65.682,weak,0.9109999999999999,75.09899999999999,weak,0.898,20.187,weak,0.997,18.814,good,0.99,136.725,weak,0.92,120.78200000000001,weak,0.94,,,70.3905,19.500500000000002,128.7535,128.7535
1792,GLB1,,,,,,,,,,,,,81.217,good,0.992,75.79899999999999,good,0.9990000000000001,55.535,good,0.995,51.945,weak,0.96,,,,,,,,,78.508,53.739999999999995,,78.508
1793,GLE1,49.415,weak,0.977,,,,,,,,,,,,,88.473,weak,0.85,94.391,weak,0.9470000000000001,,,,,,,,,,49.415,,88.473,94.391,,94.391
1794,GLG1,16.817,good,0.885,20.122,weak,0.965,44.387,good,0.988,42.593,good,0.986,31.456,good,0.997,30.087,good,0.9990000000000001,30.54,good,0.9840000000000001,24.627,good,0.993,47.048,good,0.9940000000000001,49.138999999999996,good,0.991,18.4695,43.49,30.7715,27.5835,48.0935,48.0935
1795,GLIPR2,,,,170.567,weak,0.973,194.933,good,0.997,158.30700000000002,good,0.998,,,,,,,158.316,weak,0.955,194.84799999999998,good,0.9590000000000001,,,,87.53299999999999,weak,0.963,170.567,176.62,,176.582,87.53299999999999,176.62
1796,GLMN,61.37,weak,0.963,80.655,weak,0.998,502.959,weak,0.986,335.397,weak,0.915,,,,,,,150.19899999999998,weak,0.934,89.20299999999999,weak,0.976,66.666,weak,0.996,76.314,good,0.9890000000000001,71.0125,419.178,,119.701,71.49,419.178
1797,GLO1,222.451,weak,0.986,296.046,good,0.998,298.851,good,0.9359999999999999,349.214,weak,0.998,,,,,,,86.958,good,0.9790000000000001,47.518,good,0.985,63.968,good,0.998,73.418,good,0.9990000000000001,259.2485,324.0325,,67.238,68.69300000000001,324.0325
1798,GLOD4,170.28,good,0.96,255.72799999999998,good,0.996,463.527,weak,0.973,360.724,good,0.9740000000000001,,,,411.82,good,0.9209999999999999,130.168,weak,0.938,109.66,weak,0.985,66.551,good,0.996,80.107,good,0.998,213.004,412.1255,411.82,119.914,73.32900000000001,412.1255
1799,GLRX,448.871,weak,0.985,411.915,weak,0.9990000000000001,627.5419999999999,weak,0.955,476.82300000000004,weak,0.9990000000000001,340.083,weak,0.9840000000000001,283.323,good,0.922,99.319,weak,0.99,99.867,good,0.991,50.818000000000005,weak,0.9940000000000001,78.509,good,0.9990000000000001,430.39300000000003,552.1825,311.703,99.593,64.6635,552.1825
1800,GLRX3,59.181000000000004,weak,0.9670000000000001,64.223,good,0.996,,,,,,,150.21200000000002,weak,0.852,104.641,weak,0.9259999999999999,75.824,good,0.99,57.583999999999996,weak,0.986,47.864,good,0.9990000000000001,54.229,good,1.0,61.702,,127.4265,66.704,51.046499999999995,127.4265
1801,GLRX5,105.771,weak,0.991,123.316,weak,0.995,275.866,weak,0.972,177.03,weak,0.9740000000000001,125.736,good,0.998,129.029,good,0.998,101.67200000000001,weak,0.9329999999999999,,,,61.115,weak,0.9990000000000001,73.199,good,0.993,114.5435,226.44799999999998,127.3825,101.67200000000001,67.157,226.44799999999998
1802,GLS,55.687,weak,0.953,81.632,good,0.996,112.682,weak,0.995,105.146,weak,0.9620000000000001,74.415,good,0.8490000000000001,67.748,weak,0.884,38.399,good,0.9840000000000001,27.879,weak,0.992,39.215,good,0.9990000000000001,44.328,good,1.0,68.65950000000001,108.914,71.0815,33.139,41.7715,108.914
1803,GLTP,122.307,weak,0.961,135.975,weak,0.935,179.18400000000003,weak,0.975,184.451,weak,0.902,,,,,,,,,,120.898,good,0.972,,,,,,,129.141,181.8175,,120.898,,181.8175
1804,GLTSCR1,27.933000000000003,weak,0.956,49.876000000000005,weak,0.9740000000000001,,,,,,,,,,,,,,,,,,,19.583,weak,0.927,26.624000000000002,weak,0.9940000000000001,38.904500000000006,,,,23.1035,38.904500000000006
1805,GLTSCR1L,,,,43.348,weak,0.914,,,,,,,,,,,,,,,,,,,,,,,,,43.348,,,,,43.348
1806,GLTSCR2,21.967,weak,0.985,23.811,weak,0.98,,,,,,,14.537,good,0.951,15.55,good,0.985,,,,,,,11.793,weak,0.889,14.126,weak,0.882,22.889,,15.043500000000002,,12.959499999999998,22.889
1807,GLUD1,658.668,good,0.988,694.135,good,1.0,858.1339999999999,good,0.988,789.62,good,0.99,389.89300000000003,good,0.983,407.75199999999995,good,0.9740000000000001,180.56799999999998,good,0.995,151.609,good,0.9890000000000001,145.836,good,0.98,223.585,good,0.996,676.4014999999999,823.877,398.8225,166.0885,184.71050000000002,823.877
1808,GLUL,,,,,,,21.343000000000004,weak,0.99,18.505,weak,0.991,217.803,good,0.987,,,,,,,12.344000000000001,good,0.866,27.926,good,0.993,46.288999999999994,good,0.993,,19.924,217.803,12.344000000000001,37.107499999999995,217.803
1809,GLYR1,126.68299999999999,good,0.99,139.157,weak,0.998,239.771,good,0.987,199.56099999999998,weak,0.966,25.095,good,0.948,27.451999999999998,good,0.889,48.812,good,0.988,50.968,good,0.997,35.632,good,0.9990000000000001,43.551,good,0.9940000000000001,132.92000000000002,219.666,26.2735,49.89,39.591499999999996,219.666
1810,GM2A,,,,42.881,good,0.993,,,,208.83599999999998,weak,0.97,35.121,good,0.992,32.159,good,0.983,32.458,weak,0.991,28.633000000000003,weak,0.9890000000000001,85.809,good,0.998,144.66,good,0.991,42.881,208.83599999999998,33.64,30.5455,115.2345,208.83599999999998
1811,GMDS,,,,120.97,weak,0.985,1076.1589999999999,weak,0.878,,,,,,,,,,,,,,,,69.949,weak,0.897,83.486,good,0.996,120.97,1076.1589999999999,,,76.7175,1076.1589999999999
1812,GMEB1,94.667,weak,0.96,105.48200000000001,good,0.973,,,,183.68599999999998,good,0.885,,,,,,,66.438,weak,0.986,,,,,,,,,,100.0745,183.68599999999998,,66.438,,183.68599999999998
1813,GMEB2,79.486,weak,0.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.486,,,,,79.486
1814,GMFB,,,,164.386,weak,0.8909999999999999,,,,,,,,,,,,,56.547,weak,0.996,53.483999999999995,good,0.975,51.159,good,0.998,62.06399999999999,good,0.9990000000000001,164.386,,,55.015499999999996,56.61149999999999,164.386
1815,GMFG,142.922,good,0.9790000000000001,171.63299999999998,good,0.995,320.883,weak,0.9890000000000001,275.737,good,0.998,,,,,,,166.176,good,0.988,137.203,good,0.987,,,,,,,157.27749999999997,298.31,,151.6895,,298.31
1816,GMIP,60.121,good,0.992,58.961000000000006,good,1.0,119.62299999999999,good,0.99,95.73100000000001,good,0.998,,,,,,,67.06,good,0.987,56.589,good,0.983,,,,52.165,weak,0.998,59.541000000000004,107.67699999999999,,61.8245,52.165,107.67699999999999
1817,GMPPA,75.278,good,0.963,86.652,weak,0.995,,,,261.55,weak,0.976,,,,,,,61.938,good,0.991,57.001000000000005,good,0.992,74.859,good,0.998,77.521,weak,0.995,80.965,261.55,,59.469500000000004,76.19,261.55
1818,GMPPB,112.00399999999999,weak,0.945,,,,,,,,,,,,,52.519,good,0.976,89.1,weak,0.9740000000000001,82.48299999999999,good,0.9790000000000001,129.349,weak,0.909,117.77,weak,0.895,112.00399999999999,,52.519,85.79149999999998,123.55949999999999,123.55949999999999
1819,GMPR2,,,,203.505,good,0.878,365.29900000000004,weak,0.86,,,,,,,,,,147.965,weak,0.975,176.463,weak,0.985,86.59299999999999,weak,0.9790000000000001,95.10700000000001,weak,0.977,203.505,365.29900000000004,,162.214,90.85,365.29900000000004
1820,GMPS,52.06100000000001,good,0.96,63.56,good,0.992,236.31599999999997,weak,0.982,197.136,good,1.0,,,,,,,86.167,good,0.978,79.945,good,0.9840000000000001,43.13399999999999,good,0.9990000000000001,52.36600000000001,good,0.997,57.810500000000005,216.726,,83.056,47.75,216.726
1821,GNA13,52.54,good,0.987,55.765,good,0.9990000000000001,,,,98.234,good,0.993,70.97800000000001,good,0.99,68.093,good,0.998,50.356,good,0.9840000000000001,39.89,good,0.9890000000000001,49.019,good,0.9990000000000001,57.891999999999996,good,1.0,54.1525,98.234,69.53550000000001,45.123000000000005,53.4555,98.234
1822,GNAI2,150.164,good,0.9840000000000001,185.69,good,0.995,315.635,good,0.9890000000000001,299.684,good,0.9940000000000001,41.81399999999999,good,0.982,49.1,good,0.965,113.147,good,0.9940000000000001,87.337,good,0.9740000000000001,56.843,good,1.0,70.21600000000001,good,1.0,167.927,307.6595,45.456999999999994,100.242,63.529500000000006,307.6595
1823,GNAI3,93.917,good,0.977,114.259,weak,0.9990000000000001,241.455,weak,0.977,210.68099999999998,weak,0.995,56.232,good,0.99,55.597,good,0.995,71.523,weak,0.987,59.581,good,0.9740000000000001,48.831,good,1.0,55.302,good,1.0,104.088,226.06799999999998,55.914500000000004,65.55199999999999,52.066500000000005,226.06799999999998
1824,GNAS,72.837,good,0.975,76.69800000000001,weak,0.9990000000000001,128.39,weak,0.996,106.916,weak,0.991,46.461999999999996,good,0.995,43.48,good,0.995,49.095,good,0.986,42.637,good,0.9890000000000001,48.603,good,0.9990000000000001,52.294,good,1.0,74.76750000000001,117.65299999999999,44.971,45.866,50.448499999999996,117.65299999999999
1825,GNB1,,,,123.166,good,0.998,,,,206.033,weak,0.9940000000000001,49.265,good,0.997,46.615,good,0.998,122.17200000000001,weak,0.9390000000000001,68.612,weak,0.977,51.522,good,0.998,59.405,good,1.0,123.166,206.033,47.94,95.392,55.463499999999996,206.033
1826,GNB1L,,,,73.456,weak,0.9359999999999999,,,,,,,,,,,,,,,,,,,,,,,,,73.456,,,,,73.456
1827,GNB2,,,,115.711,weak,0.997,218.945,weak,0.904,274.495,weak,0.9259999999999999,55.593,weak,0.9990000000000001,82.061,weak,0.981,,,,,,,52.446999999999996,good,1.0,62.391999999999996,good,1.0,115.711,246.72,68.827,,57.4195,246.72
1828,GNB2L1,61.952,good,0.971,85.485,good,0.998,339.228,good,0.981,275.375,good,0.998,91.804,good,0.986,83.13600000000001,good,0.978,81.611,good,0.975,67.277,good,0.9840000000000001,,,,,,,73.7185,307.30150000000003,87.47,74.444,,307.30150000000003
1829,GNB4,,,,,,,,,,,,,,,,,,,43.076,weak,0.971,,,,42.62,weak,1.0,56.477,good,0.995,,,,43.076,49.5485,49.5485
1830,GNE,49.055,weak,0.991,56.378,good,1.0,,,,91.525,weak,0.9159999999999999,193.16299999999998,weak,0.8540000000000001,,,,55.998999999999995,good,0.9940000000000001,48.123000000000005,weak,0.987,25.533,weak,0.996,25.88,good,0.9890000000000001,52.716499999999996,91.525,193.16299999999998,52.061,25.7065,193.16299999999998
1831,GNG2,,,,166.03400000000002,weak,0.958,315.684,weak,0.997,247.699,weak,0.9690000000000001,,,,,,,,,,,,,60.027,good,0.9990000000000001,69.43,good,0.9990000000000001,166.03400000000002,281.6915,,,64.7285,281.6915
1832,GNG5,51.472,good,0.983,56.167,weak,0.997,,,,80.835,weak,0.9990000000000001,40.921,good,0.996,39.137,good,0.995,79.06,weak,0.983,56.198,good,0.987,121.914,weak,0.995,105.441,weak,0.978,53.819500000000005,80.835,40.028999999999996,67.629,113.67750000000001,113.67750000000001
1833,GNG7,172.426,weak,0.987,209.44299999999998,weak,0.998,,,,,,,,,,,,,,,,,,,44.578,weak,0.992,53.218999999999994,good,0.978,190.93449999999999,,,,48.8985,190.93449999999999
1834,GNL1,80.85300000000001,good,0.993,93.851,good,1.0,,,,165.898,weak,0.9990000000000001,,,,,,,120.485,good,0.94,,,,63.5,good,0.997,84.32700000000001,good,0.9990000000000001,87.352,165.898,,120.485,73.9135,165.898
1835,GNL2,25.936,good,0.996,23.358,good,0.987,,,,,,,17.487000000000002,good,0.9059999999999999,20.025,good,0.973,21.967,weak,0.995,16.644000000000002,weak,0.95,19.909000000000002,weak,0.9540000000000001,17.444000000000003,good,0.9670000000000001,24.647,,18.756,19.305500000000002,18.676500000000004,24.647
1836,GNL3,31.304000000000002,good,0.986,38.513000000000005,good,0.996,114.016,good,0.909,85.219,weak,0.9990000000000001,34.461,good,0.9690000000000001,33.501999999999995,good,0.963,35.135,weak,0.9940000000000001,,,,34.721,good,0.998,36.084,good,0.997,34.908500000000004,99.6175,33.9815,35.135,35.4025,99.6175
1837,GNL3L,12.415,weak,0.991,,,,,,,,,,,,,,,,13.181,weak,0.9740000000000001,12.617,weak,0.932,,,,,,,12.415,,,12.899000000000001,,12.899000000000001
1838,GNPAT,,,,,,,,,,154.38,weak,0.919,51.022,good,0.995,48.605,good,0.987,,,,76.22800000000001,weak,0.965,46.975,weak,0.992,57.674,good,0.998,,154.38,49.8135,76.22800000000001,52.3245,154.38
1839,GNPDA1,85.852,weak,0.997,115.12200000000001,weak,0.98,241.25900000000001,good,0.9690000000000001,,,,,,,,,,45.532,weak,0.9840000000000001,41.26,good,0.9890000000000001,60.053999999999995,weak,0.981,100.53,weak,0.9840000000000001,100.48700000000001,241.25900000000001,,43.396,80.292,241.25900000000001
1840,GNPDA2,,,,228.577,weak,0.888,,,,,,,,,,,,,,,,203.891,weak,0.998,78.193,weak,0.9740000000000001,102.619,weak,0.98,228.577,,,203.891,90.406,228.577
1841,GNPNAT1,,,,,,,,,,,,,3300.423,weak,0.894,,,,131.857,weak,0.982,100.48299999999999,weak,0.9790000000000001,62.176,weak,0.9670000000000001,,,,,,3300.423,116.16999999999999,62.176,3300.423
1842,GNS,45.931999999999995,weak,0.9890000000000001,56.786,weak,0.993,283.515,good,0.9570000000000001,279.536,good,0.997,41.768,good,0.985,41.269,good,1.0,42.977,good,0.9840000000000001,34.976,good,0.9640000000000001,73.17399999999999,good,0.995,90.36,good,0.996,51.358999999999995,281.52549999999997,41.5185,38.9765,81.767,281.52549999999997
1843,GOLGA2,36.969,weak,0.992,38.598,weak,0.997,72.245,good,0.995,60.372,good,0.9990000000000001,42.706,good,0.998,40.898,good,0.996,37.67,good,0.9640000000000001,39.691,good,0.991,35.135999999999996,good,1.0,40.233000000000004,good,1.0,37.783500000000004,66.30850000000001,41.80200000000001,38.6805,37.6845,66.30850000000001
1844,GOLGA3,88.47399999999999,good,0.996,105.439,good,0.9990000000000001,142.08,good,0.993,120.77799999999999,good,0.997,51.858999999999995,good,0.997,51.675,good,0.9990000000000001,56.332,good,0.982,49.106,good,0.9940000000000001,37.891,good,0.9990000000000001,43.133,good,1.0,96.95649999999999,131.429,51.766999999999996,52.719,40.512,131.429
1845,GOLGA4,55.515,weak,0.865,39.793,good,0.996,78.315,weak,0.955,59.47,good,0.9990000000000001,33.71,good,1.0,32.971,good,0.998,42.163000000000004,weak,0.993,31.105,good,0.985,33.082,good,0.986,33.231,good,0.9990000000000001,47.653999999999996,68.8925,33.3405,36.634,33.1565,68.8925
1846,GOLGA5,,,,95.796,weak,0.9059999999999999,,,,72.294,weak,0.972,46.096000000000004,good,0.9990000000000001,44.086999999999996,good,0.998,39.216,weak,0.981,35.544000000000004,weak,0.992,45.956,good,0.998,53.69,good,1.0,95.796,72.294,45.091499999999996,37.38,49.823,95.796
1847,GOLGA7,,,,51.418,weak,0.965,,,,43.181000000000004,weak,0.9359999999999999,50.31100000000001,weak,0.997,59.207,weak,0.912,,,,,,,22.176,weak,0.9620000000000001,20.921,good,0.9279999999999999,51.418,43.181000000000004,54.759,,21.548499999999997,54.759
1848,GOLGB1,40.49,good,0.988,40.048,good,0.9990000000000001,64.889,weak,0.9420000000000001,46.313,weak,0.9940000000000001,36.139,good,1.0,34.409,good,0.9990000000000001,47.207,good,0.995,36.564,good,0.9940000000000001,22.901,good,0.9990000000000001,26.471,good,0.998,40.269000000000005,55.601,35.274,41.8855,24.686,55.601
1849,GOLIM4,,,,,,,,,,,,,66.931,good,1.0,62.635,good,0.9990000000000001,,,,24.863000000000003,good,0.992,56.222,weak,0.9840000000000001,79.96,good,0.9940000000000001,,,64.783,24.863000000000003,68.091,68.091
1850,GOLPH3,64.813,weak,0.996,66.778,weak,0.998,,,,,,,50.931999999999995,weak,0.99,54.272,good,0.998,55.934,weak,0.987,52.718999999999994,weak,0.9890000000000001,37.25,good,0.992,40.289,good,0.998,65.7955,,52.602,54.326499999999996,38.7695,65.7955
1851,GOLPH3L,30.75,weak,0.993,34.089,weak,0.9990000000000001,,,,,,,,,,,,,52.971000000000004,weak,0.986,32.879,weak,0.992,36.71,weak,0.997,38.674,good,0.9990000000000001,32.4195,,,42.925,37.692,42.925
1852,GOLT1B,,,,120.416,weak,0.899,,,,,,,,,,,,,97.82700000000001,weak,0.9570000000000001,64.118,weak,0.9329999999999999,79.531,weak,0.937,,,,120.416,,,80.9725,79.531,120.416
1853,GOPC,25.372,weak,0.983,,,,37.452,weak,0.992,35.634,weak,0.992,,,,61.943000000000005,weak,0.9990000000000001,30.44,weak,0.983,25.361,weak,0.995,20.37,good,0.991,21.451999999999998,good,0.9990000000000001,25.372,36.543,61.943000000000005,27.9005,20.911,61.943000000000005
1854,GORASP2,88.211,good,0.983,104.19,good,1.0,314.02,weak,0.9990000000000001,224.71099999999998,weak,0.993,110.458,good,0.9359999999999999,87.412,good,1.0,64.543,good,0.993,74.05199999999999,weak,0.856,62.855,good,0.99,94.512,good,0.995,96.2005,269.3655,98.935,69.2975,78.6835,269.3655
1855,GOSR1,,,,,,,,,,,,,67.96,good,0.983,88.92,good,0.9990000000000001,45.431999999999995,good,0.993,37.274,good,0.997,,,,36.694,good,0.997,,,78.44,41.352999999999994,36.694,78.44
1856,GOSR2,,,,52.175,weak,0.953,,,,,,,70.949,good,0.993,68.73100000000001,good,0.991,,,,,,,40.227,good,0.995,39.137,good,0.997,52.175,,69.84,,39.682,69.84
1857,GOT1,82.84200000000001,good,0.99,97.56200000000001,good,1.0,,,,336.977,good,0.929,194.71200000000002,good,0.988,182.31900000000002,good,0.9840000000000001,120.166,good,0.991,99.48100000000001,good,0.995,51.474,good,0.995,56.95399999999999,good,0.998,90.20200000000001,336.977,188.51550000000003,109.8235,54.214,336.977
1858,GOT2,376.056,good,0.9840000000000001,412.94599999999997,good,0.995,800.168,good,0.998,660.66,good,0.9940000000000001,253.093,good,0.991,261.525,good,0.997,294.01099999999997,good,0.991,205.82299999999998,good,0.9690000000000001,88.865,good,1.0,96.464,good,0.9990000000000001,394.501,730.414,257.30899999999997,249.91699999999997,92.6645,730.414
