ensembl_gene_id,symbol,accession,name_used,protac_target,publication
ENSG00000117399,CDC20,Q12834,cdc20,1,
ENSG00000166851,PLK1,P53350,plk1,1,
ENSG00000168610,STAT3,P40763,stat3,1,
ENSG00000074266,EED,O75530,eed,1,https://europepmc.org/article/MED/31786184
ENSG00000198001,IRAK4,Q9NWZ3,irak4,1,
ENSG00000185386,MAPK11,Q15759,"p38 isoforms, p38-_",1,
ENSG00000188130,MAPK12,P53778,"p38 isoforms, p38-_, ERK6",1,
ENSG00000156711,MAPK13,O15264,"p38 isoforms, p38-_, SAPK4",1,
ENSG00000112062,MAPK14,Q16539,"p38 isoforms, p38-_",1,
ENSG00000140443,IGF1R,P08069,IGF-1R,1,https://europepmc.org/article/MED/32340152
ENSG00000131203,IDO1,P14902,IDO1,1,https://www.sciencedirect.com/science/article/pii/S2211383519314844
ENSG00000103342,GSPT1,P15170,GSPT1,1,https://europepmc.org/article/MED/29356495
ENSG00000132646,PCNA,P12004,PCNA,1,https://europepmc.org/article/MED/32123106
ENSG00000178691,SUZ12,Q15022,,1,https://europepmc.org/article/MED/31786184
ENSG00000104312,RIPK2,O43353,,1,https://europepmc.org/article/MED/32198438
ENSG00000133703,KRAS,P01116,,1,https://europepmc.org/article/PPR/PPR149903
ENSG00000138061,CYP1B1,Q16678,,1,https://europepmc.org/article/MED/31945665
ENSG00000113161,HMGCR,P04035,,1,https://europepmc.org/article/MED/32321253
ENSG00000123374,CDK2,P24941,,1,https://europepmc.org/article/MED/31846828
ENSG00000135446,CDK4,P11802,,1,https://europepmc.org/article/MED/32184044
ENSG00000156973,PDE6D,O43924,PDE_,1,https://europepmc.org/article/med/32603594
ENSG00000186868,MAPT,P10636,Tau protein,1,https://europepmc.org/article/MED/30907729
ENSG00000162434,JAK1,P23458,Janus kinase JAK1,1,https://europepmc.org/article/MED/32001089
ENSG00000096968,JAK2,O60674,Janus kinase JAK2,1,https://europepmc.org/article/MED/32001089
ENSG00000105639,JAK3,P52333,Janus kinase JAK3,1,https://europepmc.org/article/MED/32001089
ENSG00000105397,TYK2,P29597,Janus kinase TYK2,1,https://europepmc.org/article/MED/32001089
ENSG00000106462,EZH2,Q15910,,1,"https://europepmc.org/article/MED/31819273, https://europepmc.org/article/MED/31786184"
ENSG00000188389,PDCD1,Q15116,PD-1,1,https://europepmc.org/article/MED/32388281
ENSG00000120217,CD274,Q9NZQ7,PD-L1,1,https://europepmc.org/article/MED/32388281
ENSG00000197122,SRC,P12931,Src,1,https://europepmc.org/article/MED/32340152
ENSG00000122779,TRIM24,O15164,TRIM24,1,https://europepmc.org/article/MED/29507391
ENSG00000102967,DHODH,Q02127,,1,https://europepmc.org/article/MED/28833638
ENSG00000142208,AKT1,P31749,,1,https://europepmc.org/article/MED/31859249
ENSG00000105221,AKT2,P31751,,1,https://europepmc.org/article/MED/31859249
ENSG00000117020,AKT3,Q9Y243,,1,https://europepmc.org/article/MED/31859249
ENSG00000166426,CRABP1,P29762,,1,https://europepmc.org/article/MED/20369832
ENSG00000143320,CRABP2,P29373,,1,https://europepmc.org/article/MED/20369832
ENSG00000131759,RARA,P10276,,1,https://europepmc.org/article/MED/20369832
ENSG00000077092,RARB,P10826,,1,https://europepmc.org/article/MED/20369832
ENSG00000172819,RARG,P13631,,1,https://europepmc.org/article/MED/20369832
ENSG00000196730,DAPK1,P53355,,1,https://europepmc.org/article/MED/28777566
ENSG00000132535,DLG4,P78352,"PSD-95, PSD95",1,https://europepmc.org/article/MED/28777566
ENSG00000145335,SNCA,P37840,alpha-Synuclein,1,https://europepmc.org/article/MED/28777566
ENSG00000013810,TACC3,Q9Y6A5,,1,https://europepmc.org/article/MED/25375378
ENSG00000169398,PTK2,Q05397,"FAK, FAK1",1,https://europepmc.org/article/MED/30444612
